1STN01 Frognerseteren 11TN0102 
4STN25 Grønland 44TN2425 44TN2526 14TN2225 24TN1525 34TN2025 45TN2514 45TN2527
4STN26 Tøyen 44TN2526 44TN2627 14TN2326 24TN1626 34TN2126 45TN2615 45TN2628
4STN27 Ensjø 44TN2627 44TN2728 14TN2427 24TN1727 34TN2227
4STN28 Helsfyr 44TN2728 44TN2829 14TN2528 24TN1828 34TN2328
4STN29 Brynseng 44TN2829 44TN2930 14TN2629 24TN1929 34TN2429
4STN30 Høyenhall 44TN2930 44TN3031 14TN2730
4STN31 Manglerud 44TN3031 44TN3132 14TN2831
4STN32 Ryen 44TN3132 44TN3233 14TN2932
4STN33 Brattlikollen 44TN3233 44TN3334 14TN3033
4STN34 Karlsrud 44TN3334 44TN3435 14TN3134
4STN35 Lambertseter 44TN3435 44TN3536 14TN3235
4STN36 Munkelia 44TN3536 44TN3637 14TN3336
4STN37 Bergkrystallen 44TN3637 14TN3437
5STN01 Sognsvann 55TN0102
5STN02 Kringsjå 55TN0102 55TN0203
5STN03 Holstein 55TN0203 55TN0304
5STN04 Østhorn 55TN0304 55TN0405
5STN05 Tåsen 55TN0405 55TN0506
5STN06 Berg 55TN0506 55TN0607
5STN07 UllevålStadion 55TN0607 55TN0708 45TN1807 55TN0720
5STN08 Forskningsparken 55TN0708 55TN0809 45TN1908 55TN0821
5STN09 Blindern 55TN0809 55TN0910 45TN2009 55TN0922
5STN10 Majorstuen 55TN0910 55TN1011 15TN1810 25TN1110 35TN1610 45TN2110 55TN1023
5STN11 Nationaltheatret 55TN1011 55TN1112 15TN1911 25TN1211 35TN1711 45TN2211 55TN1124
5STN12 Stortinget 55TN1112 55TN1213 15TN2012 25TN1312 35TN1812 45TN2312 55TN1225
5STN13 Jernbanetorget 55TN1213 55TN1314 15TN2113 25TN1413 35TN1913 45TN2413 55TN1326
5STN14 Grønland 55TN1314 55TN1415 15TN2214 25TN1514 35TN2014 45TN2514 55TN1427
5STN15 Tøyen 55TN1415 55TN1516 15TN2315 25TN1615 35TN2115 45TN2615 55TN1528
5STN16 CarlBernersPlass 55TN1516 55TN1617 55TN1629
5STN17 Sinsen 55TN1617 55TN1718 45TN1517
5STN18 Storo 55TN1718 55TN1819 45TN1618
5STN19 Nydalen 55TN1819 55TN1920 45TN1719
5STN20 UllevålStadion 55TN1920 55TN2021 45TN1820 55TN0720
5STN21 Forskningsparken 55TN2021 55TN2122 45TN1921 55TN0821
5STN22 Blindern 55TN2122 55TN2223 45TN2022 55TN0922
5STN23 Majorstuen 55TN2223 55TN2324 15TN1823 25TN1123 35TN1623 45TN2123 55TN1023
5STN24 Nationaltheatret 55TN2324 55TN2425 15TN1924 25TN1224 35TN1724 45TN2224 55TN1124
5STN25 Stortinget 55TN2425 55TN2526 15TN2025 25TN1325 35TN1825 45TN2325 55TN1225
5STN26 Jernbanetorget 55TN2526 55TN2627 15TN2126 25TN1426 35TN1926 45TN2426 55TN1326
5STN27 Grønland 55TN2627 55TN2728 15TN2227 25TN1527 35TN2027 45TN2527 55TN1427
5STN28 Tøyen 55TN2728 55TN2829 15TN2328 25TN1628 35TN2128 45TN2628 55TN1528
5STN29 CarlBernersPlass 55TN2829 55TN2930 55TN1629 
5STN30 Hasle 55TN2930 55TN3031
5STN31 Økern 55TN3031 55TN3132 45TN1331
5STN32 Risløkka 55TN3132 55TN3233 45TN1232
5STN33 Vollebekk 55TN3233 55TN3334 45TN1133
5STN34 Linderud 55TN3334 55TN3435 45TN1034
5STN35 Veitvet 55TN3435 55TN3536 45TN0935
5STN36 Rødtvet 55TN3536 55TN3637 45TN0836
5STN37 Kalbakken 55TN3637 55TN3738 45TN0737
5STN38 Ammerud 55TN3738 55TN3839 45TN0638
5STN39 Grorud 55TN3839 55TN3940 45TN0539
5STN40 Romsås 55TN3940 55TN4041 45TN0440 
5STN41 Rommen 55TN4041 55TN4142 45TN0341
5STN42 Stovner 55TN4142 55TN4243 45TN0242
5STN43 Vestli 55TN4243 45TN0143
